"CCG","Cancer Alliance","STP","Year","Site","Stage 1","Stage 2","Stage 3","Stage 4","Staged - other early","Staged - other advanced","Unstageable","Missing stage","Percentage completeness (%)"
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Colon",19,24,15,33,NA,NA,NA,16,85
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Hodgkin lymphoma",NA,5,2,1,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Kidney, except renal pelvis",17,2,8,6,NA,NA,NA,9,78.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Larynx including anterior surface of epiglottis",NA,1,NA,4,NA,NA,1,2,62.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Lung",48,17,41,124,NA,NA,1,16,93.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Melanoma of skin",37,9,4,3,NA,NA,NA,1,98.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Non-Hodgkin lymphoma",6,6,12,13,NA,NA,NA,3,92.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Oesophagus including cardia and gastroesophageal junction",7,7,11,6,NA,NA,NA,5,86.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Oral cavity, hard palate and lip (inner aspect)",4,1,NA,10,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Oropharynx, base of tongue, tonsil, soft palate and uvula",2,NA,1,14,NA,NA,NA,1,94.4
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Other",10,8,8,15,11,4,91,63,26.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Ovary, fallopian tube and primary peritoneal carcinomas",8,1,5,8,NA,NA,1,9,68.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Lung",60,18,54,100,NA,NA,NA,9,96.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Melanoma of skin",33,13,7,3,NA,NA,NA,3,94.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Rectum and rectosigmoid junction",10,12,16,12,NA,NA,NA,4,92.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Stomach excluding cardia and gastroesophageal junction",5,4,3,8,NA,NA,1,6,74.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Testis",4,NA,1,1,NA,NA,1,NA,85.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Thyroid",2,1,3,3,NA,NA,NA,1,90
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2016,"Uterus",23,2,2,2,NA,NA,NA,2,93.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Ovary, fallopian tube and primary peritoneal carcinomas",12,NA,4,8,NA,NA,1,9,70.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Pancreas",3,3,1,20,NA,NA,NA,16,62.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Bladder",14,11,5,14,NA,NA,NA,5,89.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Breast",76,75,14,10,NA,NA,NA,14,92.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Cervix",2,3,1,NA,NA,NA,NA,8,42.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Colon",18,21,21,19,NA,NA,NA,5,94
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Hodgkin lymphoma",2,2,NA,3,NA,NA,NA,2,77.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Kidney, except renal pelvis",18,3,9,9,NA,NA,NA,14,73.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Larynx including anterior surface of epiglottis",1,NA,2,6,NA,NA,NA,2,81.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Lung",34,19,48,125,NA,NA,NA,13,94.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Melanoma of skin",32,8,6,1,NA,NA,NA,7,87
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Non-Hodgkin lymphoma",7,5,8,16,NA,NA,NA,9,80
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Oesophagus including cardia and gastroesophageal junction",8,11,11,18,NA,NA,NA,4,92.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Oral cavity, hard palate and lip (inner aspect)",8,3,NA,5,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Oropharynx, base of tongue, tonsil, soft palate and uvula",NA,1,NA,12,NA,NA,NA,2,86.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Other",9,11,11,18,22,3,95,46,34.4
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Ovary, fallopian tube and primary peritoneal carcinomas",12,2,13,6,NA,NA,NA,12,73.3
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Melanoma of skin",33,4,2,NA,NA,NA,NA,27,59.1
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Prostate",23,10,34,47,NA,NA,NA,26,81.4
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Rectum and rectosigmoid junction",8,12,21,18,NA,NA,NA,9,86.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Stomach excluding cardia and gastroesophageal junction",2,4,NA,8,NA,NA,NA,3,82.4
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Testis",3,1,NA,NA,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Thyroid",1,1,4,NA,NA,NA,NA,3,66.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2017,"Uterus",24,1,4,2,NA,NA,NA,2,93.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Pancreas",5,3,1,23,NA,NA,NA,8,80
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Prostate",37,16,52,40,NA,NA,1,68,67.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Bladder",15,4,3,5,NA,NA,NA,10,73
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Breast",72,84,23,11,NA,NA,NA,29,86.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Cervix",4,3,NA,3,NA,NA,NA,9,52.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Colon",24,20,19,21,NA,NA,NA,17,83.2
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Hodgkin lymphoma",NA,1,1,1,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Kidney, except renal pelvis",20,4,8,13,NA,NA,NA,8,84.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Larynx including anterior surface of epiglottis",8,1,3,2,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Thyroid",6,1,NA,1,NA,NA,NA,1,88.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Uterus",22,1,3,2,NA,NA,NA,5,84.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Non-Hodgkin lymphoma",6,7,7,27,NA,NA,NA,4,92.2
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Oesophagus including cardia and gastroesophageal junction",2,5,4,12,NA,NA,1,22,50
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Oral cavity, hard palate and lip (inner aspect)",4,3,1,11,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Oropharynx, base of tongue, tonsil, soft palate and uvula",1,1,2,13,NA,NA,NA,1,94.4
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Other",18,12,14,18,26,1,94,61,36.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Hodgkin lymphoma",1,NA,3,1,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Kidney, except renal pelvis",20,3,10,6,NA,NA,NA,26,60
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Prostate",41,17,48,51,NA,NA,1,32,82.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Rectum and rectosigmoid junction",18,6,17,14,NA,NA,NA,7,88.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Stomach excluding cardia and gastroesophageal junction",2,2,3,9,NA,NA,NA,5,76.2
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2018,"Testis",7,2,NA,NA,NA,NA,NA,3,75
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Oesophagus including cardia and gastroesophageal junction",1,2,2,14,NA,NA,NA,23,45.2
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Oral cavity, hard palate and lip (inner aspect)",4,3,NA,1,NA,NA,NA,NA,100
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Bladder",8,7,1,5,NA,NA,NA,23,47.7
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Other",15,8,8,19,24,7,85,68,34.6
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Ovary, fallopian tube and primary peritoneal carcinomas",4,1,3,5,NA,NA,2,9,54.2
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Larynx including anterior surface of epiglottis",5,NA,3,1,NA,NA,NA,1,90
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Lung",37,20,54,91,NA,NA,NA,28,87.8
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Rectum and rectosigmoid junction",16,4,15,9,NA,NA,NA,10,81.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Stomach excluding cardia and gastroesophageal junction",1,2,1,9,NA,NA,NA,11,54.2
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Testis",6,2,NA,NA,NA,NA,NA,2,80
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Uterus",22,1,2,2,NA,NA,NA,10,73
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Non-Hodgkin lymphoma",3,5,4,21,NA,NA,NA,7,82.5
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Oropharynx, base of tongue, tonsil, soft palate and uvula",8,5,6,5,NA,NA,NA,3,88.9
"NHS Barnsley CCG","South Yorkshire and Bassetlaw","South Yorkshire and Bassetlaw",2019,"Thyroid",4,NA,NA,NA,NA,NA,NA,13,23.5
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2013,"Cervix",6,5,NA,1,NA,NA,NA,3,80
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2014,"Bladder",22,13,4,8,NA,NA,NA,NA,100
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2013,"Colon",13,23,30,17,NA,NA,NA,11,88.3
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2013,"Bladder",11,11,5,7,NA,NA,NA,7,82.9
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2013,"Breast",50,73,24,9,NA,NA,NA,6,96.3
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2014,"Breast",86,109,21,13,NA,NA,1,17,92.7
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2016,"Bladder",17,7,2,8,NA,NA,NA,4,89.5
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2016,"Breast",71,95,20,9,NA,NA,2,6,96.1
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2017,"Bladder",26,11,2,12,NA,NA,NA,4,92.7
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2017,"Breast",70,75,29,12,NA,NA,2,4,96.9
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2015,"Bladder",24,14,4,10,NA,NA,NA,7,88.1
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2019,"Bladder",14,7,7,5,NA,NA,NA,10,76.7
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2019,"Breast",76,84,24,14,NA,NA,NA,22,90
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2019,"Cervix",4,NA,NA,2,NA,NA,NA,9,40
"NHS Basildon and Brentwood CCG","East of England - South","Mid and South Essex",2019,"Colon",13,30,26,37,NA,NA,NA,20,84.1
